ladxxcd,ladxxnm,itl221cd,itl221nm
E08000019,Sheffield,TLE3,South Yorkshire
E08000032,Bradford,TLE4,West Yorkshire
E08000035,Leeds,TLE4,West Yorkshire
E08000033,Calderdale,TLE4,West Yorkshire
E08000034,Kirklees,TLE4,West Yorkshire
E08000036,Wakefield,TLE4,West Yorkshire
E06000015,Derby,TLF1,Derbyshire and Nottinghamshire
E07000033,Bolsover,TLF1,Derbyshire and Nottinghamshire
E07000034,Chesterfield,TLF1,Derbyshire and Nottinghamshire
E07000038,North East Derbyshire,TLF1,Derbyshire and Nottinghamshire
E07000032,Amber Valley,TLF1,Derbyshire and Nottinghamshire
E07000035,Derbyshire Dales,TLF1,Derbyshire and Nottinghamshire
E07000036,Erewash,TLF1,Derbyshire and Nottinghamshire
E07000037,High Peak,TLF1,Derbyshire and Nottinghamshire
E07000039,South Derbyshire,TLF1,Derbyshire and Nottinghamshire
E06000018,Nottingham,TLF1,Derbyshire and Nottinghamshire
E07000170,Ashfield,TLF1,Derbyshire and Nottinghamshire
E07000171,Bassetlaw,TLF1,Derbyshire and Nottinghamshire
E07000174,Mansfield,TLF1,Derbyshire and Nottinghamshire
E07000175,Newark and Sherwood,TLF1,Derbyshire and Nottinghamshire
E07000172,Broxtowe,TLF1,Derbyshire and Nottinghamshire
E07000173,Gedling,TLF1,Derbyshire and Nottinghamshire
E07000176,Rushcliffe,TLF1,Derbyshire and Nottinghamshire
E06000016,Leicester,TLF2,"Leicestershire, Rutland and Northamptonshire"
E06000017,Rutland,TLF2,"Leicestershire, Rutland and Northamptonshire"
E07000129,Blaby,TLF2,"Leicestershire, Rutland and Northamptonshire"
E07000130,Charnwood,TLF2,"Leicestershire, Rutland and Northamptonshire"
E07000131,Harborough,TLF2,"Leicestershire, Rutland and Northamptonshire"
E07000132,Hinckley and Bosworth,TLF2,"Leicestershire, Rutland and Northamptonshire"
E07000133,Melton,TLF2,"Leicestershire, Rutland and Northamptonshire"
E07000134,North West Leicestershire,TLF2,"Leicestershire, Rutland and Northamptonshire"
E07000135,Oadby and Wigston,TLF2,"Leicestershire, Rutland and Northamptonshire"
E07000151,Daventry,TLF2,"Leicestershire, Rutland and Northamptonshire"
E07000154,Northampton,TLF2,"Leicestershire, Rutland and Northamptonshire"
E07000155,South Northamptonshire,TLF2,"Leicestershire, Rutland and Northamptonshire"
E07000150,Corby,TLF2,"Leicestershire, Rutland and Northamptonshire"
E07000152,East Northamptonshire,TLF2,"Leicestershire, Rutland and Northamptonshire"
E07000153,Kettering,TLF2,"Leicestershire, Rutland and Northamptonshire"
E07000156,Wellingborough,TLF2,"Leicestershire, Rutland and Northamptonshire"
E07000136,Boston,TLF3,Lincolnshire
E07000137,East Lindsey,TLF3,Lincolnshire
E07000138,Lincoln,TLF3,Lincolnshire
E07000139,North Kesteven,TLF3,Lincolnshire
E07000140,South Holland,TLF3,Lincolnshire
E07000141,South Kesteven,TLF3,Lincolnshire
E07000142,West Lindsey,TLF3,Lincolnshire
E06000019,"Herefordshire, County of",TLG1,"Herefordshire, Worcestershire and Warwickshire"
E07000234,Bromsgrove,TLG1,"Herefordshire, Worcestershire and Warwickshire"
E07000235,Malvern Hills,TLG1,"Herefordshire, Worcestershire and Warwickshire"
E07000236,Redditch,TLG1,"Herefordshire, Worcestershire and Warwickshire"
E07000237,Worcester,TLG1,"Herefordshire, Worcestershire and Warwickshire"
E07000238,Wychavon,TLG1,"Herefordshire, Worcestershire and Warwickshire"
E07000239,Wyre Forest,TLG1,"Herefordshire, Worcestershire and Warwickshire"
E07000218,North Warwickshire,TLG1,"Herefordshire, Worcestershire and Warwickshire"
E07000219,Nuneaton and Bedworth,TLG1,"Herefordshire, Worcestershire and Warwickshire"
E07000220,Rugby,TLG1,"Herefordshire, Worcestershire and Warwickshire"
E07000221,Stratford-on-Avon,TLG1,"Herefordshire, Worcestershire and Warwickshire"
E07000222,Warwick,TLG1,"Herefordshire, Worcestershire and Warwickshire"
E06000020,Telford and Wrekin,TLG2,Shropshire and Staffordshire
E06000051,Shropshire,TLG2,Shropshire and Staffordshire
E06000021,Stoke-on-Trent,TLG2,Shropshire and Staffordshire
E07000192,Cannock Chase,TLG2,Shropshire and Staffordshire
E07000193,East Staffordshire,TLG2,Shropshire and Staffordshire
E07000194,Lichfield,TLG2,Shropshire and Staffordshire
E07000195,Newcastle-under-Lyme,TLG2,Shropshire and Staffordshire
E07000196,South Staffordshire,TLG2,Shropshire and Staffordshire
E07000197,Stafford,TLG2,Shropshire and Staffordshire
E07000198,Staffordshire Moorlands,TLG2,Shropshire and Staffordshire
E07000199,Tamworth,TLG2,Shropshire and Staffordshire
E08000025,Birmingham,TLG3,West Midlands
E08000029,Solihull,TLG3,West Midlands
E08000026,Coventry,TLG3,West Midlands
E08000027,Dudley,TLG3,West Midlands
E08000028,Sandwell,TLG3,West Midlands
E08000030,Walsall,TLG3,West Midlands
E08000031,Wolverhampton,TLG3,West Midlands
E06000031,Peterborough,TLH1,East Anglia
E07000008,Cambridge,TLH1,East Anglia
E07000009,East Cambridgeshire,TLH1,East Anglia
E07000010,Fenland,TLH1,East Anglia
E07000011,Huntingdonshire,TLH1,East Anglia
E07000012,South Cambridgeshire,TLH1,East Anglia
E07000200,Babergh,TLH1,East Anglia
E07000202,Ipswich,TLH1,East Anglia
E07000203,Mid Suffolk,TLH1,East Anglia
E07000244,East Suffolk,TLH1,East Anglia
E07000245,West Suffolk,TLH1,East Anglia
E07000144,Broadland,TLH1,East Anglia
E07000145,Great Yarmouth,TLH1,East Anglia
E07000148,Norwich,TLH1,East Anglia
E07000146,King's Lynn and West Norfolk,TLH1,East Anglia
E07000147,North Norfolk,TLH1,East Anglia
E07000143,Breckland,TLH1,East Anglia
E07000149,South Norfolk,TLH1,East Anglia
E06000032,Luton,TLH2,Bedfordshire and Hertfordshire
E07000095,Broxbourne,TLH2,Bedfordshire and Hertfordshire
E07000096,Dacorum,TLH2,Bedfordshire and Hertfordshire
E07000098,Hertsmere,TLH2,Bedfordshire and Hertfordshire
E07000099,North Hertfordshire,TLH2,Bedfordshire and Hertfordshire
E07000102,Three Rivers,TLH2,Bedfordshire and Hertfordshire
E07000103,Watford,TLH2,Bedfordshire and Hertfordshire
E07000240,St Albans,TLH2,Bedfordshire and Hertfordshire
E07000241,Welwyn Hatfield,TLH2,Bedfordshire and Hertfordshire
E07000242,East Hertfordshire,TLH2,Bedfordshire and Hertfordshire
E07000243,Stevenage,TLH2,Bedfordshire and Hertfordshire
E06000055,Bedford,TLH2,Bedfordshire and Hertfordshire
E06000056,Central Bedfordshire,TLH2,Bedfordshire and Hertfordshire
E06000033,Southend-on-Sea,TLH3,Essex
E06000034,Thurrock,TLH3,Essex
E07000067,Braintree,TLH3,Essex
E07000071,Colchester,TLH3,Essex
E07000076,Tendring,TLH3,Essex
E07000072,Epping Forest,TLH3,Essex
E07000073,Harlow,TLH3,Essex
E07000077,Uttlesford,TLH3,Essex
E07000068,Brentwood,TLH3,Essex
E07000070,Chelmsford,TLH3,Essex
E07000074,Maldon,TLH3,Essex
E07000066,Basildon,TLH3,Essex
E07000069,Castle Point,TLH3,Essex
E07000075,Rochford,TLH3,Essex
E09000001,City of London,TLI3,Inner London - West
E09000007,Camden,TLI3,Inner London - West
E09000033,Westminster,TLI3,Inner London - West
E09000013,Hammersmith and Fulham,TLI3,Inner London - West
E09000020,Kensington and Chelsea,TLI3,Inner London - West
E09000032,Wandsworth,TLI3,Inner London - West
E09000012,Hackney,TLI4,Inner London - East
E09000025,Newham,TLI4,Inner London - East
E09000030,Tower Hamlets,TLI4,Inner London - East
E09000014,Haringey,TLI4,Inner London - East
E09000019,Islington,TLI4,Inner London - East
E09000023,Lewisham,TLI4,Inner London - East
E09000028,Southwark,TLI4,Inner London - East
E09000022,Lambeth,TLI4,Inner London - East
E09000004,Bexley,TLI5,Outer London - East and North East
E09000011,Greenwich,TLI5,Outer London - East and North East
E09000002,Barking and Dagenham,TLI5,Outer London - East and North East
E09000016,Havering,TLI5,Outer London - East and North East
E09000026,Redbridge,TLI5,Outer London - East and North East
E09000031,Waltham Forest,TLI5,Outer London - East and North East
E09000010,Enfield,TLI5,Outer London - East and North East
E09000006,Bromley,TLI6,Outer London - South
E09000008,Croydon,TLI6,Outer London - South
E09000021,Kingston upon Thames,TLI6,Outer London - South
E09000024,Merton,TLI6,Outer London - South
E09000029,Sutton,TLI6,Outer London - South
E09000003,Barnet,TLI7,Outer London - West and North West
E09000005,Brent,TLI7,Outer London - West and North West
E09000009,Ealing,TLI7,Outer London - West and North West
E09000015,Harrow,TLI7,Outer London - West and North West
E09000017,Hillingdon,TLI7,Outer London - West and North West
E09000018,Hounslow,TLI7,Outer London - West and North West
E09000027,Richmond upon Thames,TLI7,Outer London - West and North West
E06000036,Bracknell Forest,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire"
E06000037,West Berkshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire"
E06000038,Reading,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire"
E06000039,Slough,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire"
E06000040,Windsor and Maidenhead,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire"
E06000041,Wokingham,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire"
E06000042,Milton Keynes,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire"
E06000060,Buckinghamshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire"
E07000177,Cherwell,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire"
E07000178,Oxford,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire"
E07000179,South Oxfordshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire"
E07000180,Vale of White Horse,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire"
E07000181,West Oxfordshire,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire"
E06000043,Brighton and Hove,TLJ2,"Surrey, East and West Sussex"
E07000061,Eastbourne,TLJ2,"Surrey, East and West Sussex"
E07000062,Hastings,TLJ2,"Surrey, East and West Sussex"
E07000063,Lewes,TLJ2,"Surrey, East and West Sussex"
E07000064,Rother,TLJ2,"Surrey, East and West Sussex"
E07000065,Wealden,TLJ2,"Surrey, East and West Sussex"
E07000207,Elmbridge,TLJ2,"Surrey, East and West Sussex"
E07000209,Guildford,TLJ2,"Surrey, East and West Sussex"
E07000212,Runnymede,TLJ2,"Surrey, East and West Sussex"
E07000213,Spelthorne,TLJ2,"Surrey, East and West Sussex"
E07000214,Surrey Heath,TLJ2,"Surrey, East and West Sussex"
E07000216,Waverley,TLJ2,"Surrey, East and West Sussex"
E07000217,Woking,TLJ2,"Surrey, East and West Sussex"
E07000208,Epsom and Ewell,TLJ2,"Surrey, East and West Sussex"
E07000210,Mole Valley,TLJ2,"Surrey, East and West Sussex"
E07000211,Reigate and Banstead,TLJ2,"Surrey, East and West Sussex"
E07000215,Tandridge,TLJ2,"Surrey, East and West Sussex"
E07000223,Adur,TLJ2,"Surrey, East and West Sussex"
E07000224,Arun,TLJ2,"Surrey, East and West Sussex"
E07000225,Chichester,TLJ2,"Surrey, East and West Sussex"
E07000229,Worthing,TLJ2,"Surrey, East and West Sussex"
E07000226,Crawley,TLJ2,"Surrey, East and West Sussex"
E07000227,Horsham,TLJ2,"Surrey, East and West Sussex"
E07000228,Mid Sussex,TLJ2,"Surrey, East and West Sussex"
E06000044,Portsmouth,TLJ3,Hampshire and Isle of Wight
E06000045,Southampton,TLJ3,Hampshire and Isle of Wight
E06000046,Isle of Wight,TLJ3,Hampshire and Isle of Wight
E07000086,Eastleigh,TLJ3,Hampshire and Isle of Wight
E07000087,Fareham,TLJ3,Hampshire and Isle of Wight
E07000088,Gosport,TLJ3,Hampshire and Isle of Wight
E07000090,Havant,TLJ3,Hampshire and Isle of Wight
E07000085,East Hampshire,TLJ3,Hampshire and Isle of Wight
E07000091,New Forest,TLJ3,Hampshire and Isle of Wight
E07000093,Test Valley,TLJ3,Hampshire and Isle of Wight
E07000094,Winchester,TLJ3,Hampshire and Isle of Wight
E07000084,Basingstoke and Deane,TLJ3,Hampshire and Isle of Wight
E07000089,Hart,TLJ3,Hampshire and Isle of Wight
E07000092,Rushmoor,TLJ3,Hampshire and Isle of Wight
E06000035,Medway,TLJ4,Kent
E07000107,Dartford,TLJ4,Kent
E07000109,Gravesham,TLJ4,Kent
E07000113,Swale,TLJ4,Kent
E07000106,Canterbury,TLJ4,Kent
E07000108,Dover,TLJ4,Kent
E07000112,Folkestone and Hythe,TLJ4,Kent
E07000114,Thanet,TLJ4,Kent
E07000105,Ashford,TLJ4,Kent
E07000110,Maidstone,TLJ4,Kent
E07000111,Sevenoaks,TLJ4,Kent
E07000115,Tonbridge and Malling,TLJ4,Kent
E07000116,Tunbridge Wells,TLJ4,Kent
E06000023,"Bristol, City of",TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area"
E06000022,Bath and North East Somerset,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area"
E06000024,North Somerset,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area"
E06000025,South Gloucestershire,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area"
E07000078,Cheltenham,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area"
E07000079,Cotswold,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area"
E07000080,Forest of Dean,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area"
E07000081,Gloucester,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area"
E07000082,Stroud,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area"
E07000083,Tewkesbury,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area"
E06000030,Swindon,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area"
E06000054,Wiltshire,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area"
E07000187,Mendip,TLK2,Dorset and Somerset
E07000188,Sedgemoor,TLK2,Dorset and Somerset
E07000189,South Somerset,TLK2,Dorset and Somerset
E07000246,Somerset West and Taunton,TLK2,Dorset and Somerset
E06000058,"Bournemouth, Christchurch and Poole",TLK2,Dorset and Somerset
E06000059,Dorset,TLK2,Dorset and Somerset
E06000052,Cornwall,TLK3,Cornwall and Isles of Scilly
E06000053,Isles of Scilly,TLK3,Cornwall and Isles of Scilly
E06000026,Plymouth,TLK4,Devon
E06000027,Torbay,TLK4,Devon
E07000040,East Devon,TLK4,Devon
E07000041,Exeter,TLK4,Devon
E07000042,Mid Devon,TLK4,Devon
E07000043,North Devon,TLK4,Devon
E07000044,South Hams,TLK4,Devon
E07000045,Teignbridge,TLK4,Devon
E07000046,Torridge,TLK4,Devon
E07000047,West Devon,TLK4,Devon
W06000001,Isle of Anglesey,TLL1,West Wales and The Valleys
W06000002,Gwynedd,TLL1,West Wales and The Valleys
W06000003,Conwy,TLL1,West Wales and The Valleys
W06000004,Denbighshire,TLL1,West Wales and The Valleys
W06000008,Ceredigion,TLL1,West Wales and The Valleys
W06000009,Pembrokeshire,TLL1,West Wales and The Valleys
W06000010,Carmarthenshire,TLL1,West Wales and The Valleys
W06000016,Rhondda Cynon Taf,TLL1,West Wales and The Valleys
W06000024,Merthyr Tydfil,TLL1,West Wales and The Valleys
W06000018,Caerphilly,TLL1,West Wales and The Valleys
W06000019,Blaenau Gwent,TLL1,West Wales and The Valleys
W06000020,Torfaen,TLL1,West Wales and The Valleys
W06000012,Neath Port Talbot,TLL1,West Wales and The Valleys
W06000013,Bridgend,TLL1,West Wales and The Valleys
W06000011,Swansea,TLL1,West Wales and The Valleys
W06000021,Monmouthshire,TLL2,East Wales
W06000022,Newport,TLL2,East Wales
W06000014,Vale of Glamorgan,TLL2,East Wales
W06000015,Cardiff,TLL2,East Wales
W06000005,Flintshire,TLL2,East Wales
W06000006,Wrexham,TLL2,East Wales
W06000023,Powys,TLL2,East Wales
S12000033,Aberdeen City,TLM5,North Eastern Scotland
S12000034,Aberdeenshire,TLM5,North Eastern Scotland
S12000017,Highland,TLM6,Highlands and Islands
S12000020,Moray,TLM6,Highlands and Islands
S12000021,North Ayrshire,TLM6,Highlands and Islands
S12000035,Argyll and Bute,TLM6,Highlands and Islands
S12000013,Na h-Eileanan Siar,TLM6,Highlands and Islands
S12000023,Orkney Islands,TLM6,Highlands and Islands
S12000027,Shetland Islands,TLM6,Highlands and Islands
S12000041,Angus,TLM7,Eastern Scotland
S12000042,Dundee City,TLM7,Eastern Scotland
S12000005,Clackmannanshire,TLM7,Eastern Scotland
S12000047,Fife,TLM7,Eastern Scotland
S12000010,East Lothian,TLM7,Eastern Scotland
S12000019,Midlothian,TLM7,Eastern Scotland
S12000036,City of Edinburgh,TLM7,Eastern Scotland
S12000014,Falkirk,TLM7,Eastern Scotland
S12000048,Perth and Kinross,TLM7,Eastern Scotland
S12000030,Stirling,TLM7,Eastern Scotland
S12000040,West Lothian,TLM7,Eastern Scotland
S12000035,Argyll and Bute,TLM8,West Central Scotland
S12000039,West Dunbartonshire,TLM8,West Central Scotland
S12000045,East Dunbartonshire,TLM8,West Central Scotland
S12000049,Glasgow City,TLM8,West Central Scotland
S12000011,East Renfrewshire,TLM8,West Central Scotland
S12000038,Renfrewshire,TLM8,West Central Scotland
S12000018,Inverclyde,TLM8,West Central Scotland
S12000050,North Lanarkshire,TLM8,West Central Scotland
S12000026,Scottish Borders,TLM9,Southern Scotland
S12000006,Dumfries and Galloway,TLM9,Southern Scotland
S12000008,East Ayrshire,TLM9,Southern Scotland
S12000021,North Ayrshire,TLM9,Southern Scotland
S12000028,South Ayrshire,TLM9,Southern Scotland
S12000029,South Lanarkshire,TLM9,Southern Scotland
N09000003,Belfast,TLN0,Northern Ireland
N09000002,"Armagh City, Banbridge and Craigavon",TLN0,Northern Ireland
N09000010,"Newry, Mourne and Down",TLN0,Northern Ireland
N09000011,Ards and North Down,TLN0,Northern Ireland
N09000005,Derry City and Strabane,TLN0,Northern Ireland
N09000009,Mid Ulster,TLN0,Northern Ireland
N09000004,Causeway Coast and Glens,TLN0,Northern Ireland
N09000001,Antrim and Newtownabbey,TLN0,Northern Ireland
N09000007,Lisburn and Castlereagh,TLN0,Northern Ireland
N09000008,Mid and East Antrim,TLN0,Northern Ireland
N09000006,Fermanagh and Omagh,TLN0,Northern Ireland
E06000062,West Northamptonshire,TLF2,"Leicestershire, Rutland and Northamptonshire"
E06000061,North Northamptonshire,TLF2,"Leicestershire, Rutland and Northamptonshire"
E06000063,Cumberland,TLD1,Cumbria
E06000064,Westmorland and Furness,TLD1,Cumbria
E06000066,Somerset,TLK2,Dorset and Somerset
E06000065,North Yorkshire,TLE2,North Yorkshire
